feature,importance
PREV_AMT_CREDIT_MEAN,330.8
APPROVED_NEW_CREDIT_TO_ANNUITY_RATIO_MAX,330.2
BURO_AMT_CREDIT_SUM_DEBT_MEAN,327.8
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MEAN,326.2
PREV_SELLERPLACE_AREA_MAX,323.8
PREV_DAYS_DECISION_MIN,323.2
BURO_DAYS_CREDIT_MIN,319.6
PREV_NEW_DAYS_FIRST_AND_LAST_DUE_DIFF_MEAN,316.4
PREV_INSTAL_PREV_NEW_PAYMENT_DIFF_VAR_MEAN,315.2
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,314.6
PREV_NAME_YIELD_GROUP_low_normal_MEAN,311.0
CLOSED_AMT_CREDIT_SUM_MAX,309.2
PREV_INSTAL_PREV_NEW_PAYMENT_PERC_VAR_MEAN,307.6
BURO_MONTHS_BALANCE_SIZE_MEAN,304.4
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,299.8
PREV_AMT_DOWN_PAYMENT_MAX,299.6
PREV_INSTAL_PREV_NEW_PAYMENT_PERC_MIN_MIN,296.4
APPROVED_AMT_CREDIT_MAX,293.6
CLOSED_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_VAR,292.8
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_ENDDATE_FACT_DIFF_MEAN,292.6
ACTIVE_DAYS_CREDIT_MEAN,292.4
CLOSED_MONTHS_BALANCE_SIZE_SUM,291.0
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,290.6
APPROVED_DAYS_DECISION_MIN,290.2
PREV_NFLAG_INSURED_ON_APPROVAL_MEAN,289.8
AMT_REQ_CREDIT_BUREAU_MON,288.2
PREV_AMT_GOODS_PRICE_MEAN,288.0
PREV_INSTAL_PREV_AMT_INSTALMENT_MEAN_MAX,287.6
APPROVED_CNT_PAYMENT_MEAN,287.2
CLOSED_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MAX,286.8
PREV_NEW_CREDIT_SELLERPLACE_RATE_MIN,285.0
PREV_POS_PREV_MONTHS_BALANCE_SIZE_MAX,284.8
BURO_CREDIT_TYPE_Consumer credit_MEAN,283.2
CLOSED_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MEAN,281.6
BURO_NEW_BURO_DAYS_CREDIT_DAYS_ENDDATE_FACT_DIFF_MAX,278.8
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,278.2
CLOSED_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MAX,278.0
PREV_CC_PREV_MONTHS_BALANCE_MIN_MIN,278.0
PREV_RATE_DOWN_PAYMENT_MAX,277.4
PREV_NAME_TYPE_SUITE_Family_MEAN,276.8
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,276.4
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MAX,275.6
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,273.8
BURO_CREDIT_TYPE_Credit card_MEAN,273.2
APPROVED_SELLERPLACE_AREA_MIN,272.4
CLOSED_DAYS_CREDIT_UPDATE_MEAN,272.4
PREV_CHANNEL_TYPE_Country-wide_MEAN,270.4
APPROVED_NEW_APP_CREDIT_PERC_MAX,267.2
BURO_NEW_BURO_DAYS_CREDIT_DAYS_CREDIT_ENDDATE_DIFF_MAX,266.4
ACTIVE_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_RATIO_MAX,265.0
APPROVED_RATE_DOWN_PAYMENT_MAX,260.0
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,259.4
PREV_INSTAL_PREV_NEW_PAYMENT_PERC_MIN_MEAN,258.4
PREV_NEW_APP_CREDIT_PERC_MAX,258.4
CLOSED_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MIN,256.4
ACTIVE_DAYS_CREDIT_MIN,256.0
BURO_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_RATIO_MEAN,255.2
BURO_MONTHS_BALANCE_SIZE_MAX,254.2
CLOSED_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_ENDDATE_FACT_DIFF_MEAN,254.0
PREV_NEW_DAYS_LAST_DUE_DIFF_MIN,253.6
CLOSED_DAYS_CREDIT_MEAN,252.2
PREV_POS_PREV_MONTHS_BALANCE_MAX_MEAN,250.0
BURO_NEW_BURO_DAYS_CREDIT_DAYS_ENDDATE_FACT_DIFF_MEAN,249.8
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,249.4
ACTIVE_MONTHS_BALANCE_SIZE_SUM,248.8
PREV_NAME_SELLER_INDUSTRY_Consumer electronics_MEAN,248.4
ACTIVE_AMT_ANNUITY_MAX,244.0
APPROVED_AMT_CREDIT_MEAN,243.4
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,242.6
